1688,1108
1736,1108
1764,1121
1756,1147
1815,1139
1865,1149
1887,1176
1884,1203
1880,1222
1867,1253
1854,1286
1871,1307
1841,1315
1843,1340
1864,1349
1860,1354
1855,1364
1884,1378
1890,1388
1847,1411
1847,1422
1838,1446
1821,1477
1797,1481
1798,1498
1802,1493
1818,1489
1806,1512
1791,1502
1773,1541
1749,1541
1682,1584
1617,1616
1552,1641
1505,1686
1423,1690
1365,1718
1328,1727
1294,1752
1257,1767
1240,1754
1202,1764
1192,1739
1184,1704
1223,1670
1225,1628
1212,1599
1188,1560
1211,1516
1185,1474
1174,1435
1176,1403
1188,1371
1195,1333
1196,1296
1233,1255
1243,1215
1283,1184
1254,1183
1246,1146
1243,1126
1256,1097
1294,1072
1294,1049
1331,1019
1339,998
1373,998
1383,985
1397,988
1401,979
1436,985
1449,985
1468,998
1493,986
1503,979
1534,978
1570,986
1593,990
1624,991
1646,991
1682,995
1686,989
1731,989
1771,1009
1797,1007
1804,1026
1820,1045
1832,1056
1837,1080
1832,1108
1827,1135
1822,1162
1817,1199
1792,1236
1779,1266
1754,1307
1746,1329
1737,1371
1717,1422
1680,1442
1654,1469
1630,1492
1586,1531
1544,1539
1497,1569
1476,1584
1449,1601
1426,1603
1387,1605
1350,1598
1351,1597
1343,1564
1333,1541
1338,1522
1325,1498
1328,1480
1355,1446
1376,1423
1398,1384
1409,1360
1421,1338
1419,1334
1439,1319
1442,1304
1453,1279
1452,1257
1469,1228
1509,1205
1519,1195
1562,1172
1573,1168
1586,1143
1634,1139
1671,1127
1686,1126
1720,1113
1732,1135
1756,1140
1778,1148
1792,1155
1779,1165
1795,1172
1791,1212
1792,1238
1750,1252
1735,1278
1692,1301
1669,1326
1672,1357
1648,1365
1614,1366
1613,1363
1612,1367
1588,1368
1568,1365
1567,1379
1548,1370
1550,1356
1518,1356
1498,1346
1478,1333
1444,1333
1418,1323
1388,1315
1374,1318
1366,1317
1370,1306
1387,1304
1385,1299
1373,1289
1383,1275
1386,1266
1401,1234
1415,1210
1435,1194
1465,1185
1514,1174
1538,1160
1554,1148
1588,1138
1618,1123
1637,1107
1679,1090
1689,1094
1710,1102
1726,1102
1737,1093
1760,1098
1742,1110
1772,1101
1787,1113
1787,1104
1831,1087
1861,1077
1904,1073
1929,1062
1988,1060
2007,1074
2012,1061
2011,1087
2037,1115
2013,1143
1991,1195
1968,1254
1914,1295
1847,1357
1779,1423
1733,1496
1666,1561
1596,1630
1570,1674
1535,1686
1496,1728
1458,1765
